,PassengerId,Name
1,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
2,3,"Heikkinen, Miss. Laina"
3,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
8,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
9,10,"Nasser, Mrs. Nicholas (Adele Achem)"
10,11,"Sandstrom, Miss. Marguerite Rut"
11,12,"Bonnell, Miss. Elizabeth"
15,16,"Hewlett, Mrs. (Mary D Kingcome) "
17,18,"Williams, Mr. Charles Eugene"
19,20,"Masselmani, Mrs. Fatima"
21,22,"Beesley, Mr. Lawrence"
22,23,"McGowan, Miss. Anna ""Annie"""
23,24,"Sloper, Mr. William Thompson"
25,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
28,29,"O'Dwyer, Miss. Ellen ""Nellie"""
31,32,"Spencer, Mrs. William Augustus (Marie Eugenie)"
32,33,"Glynn, Miss. Mary Agatha"
36,37,"Mamee, Mr. Hanna"
39,40,"Nicola-Yarred, Miss. Jamila"
43,44,"Laroche, Miss. Simonne Marie Anne Andree"
44,45,"Devaney, Miss. Margaret Delia"
47,48,"O'Driscoll, Miss. Bridget"
52,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
53,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
55,56,"Woolner, Mr. Hugh"
56,57,"Rugg, Miss. Emily"
58,59,"West, Miss. Constance Mirium"
61,62,"Icard, Miss. Amelie"
65,66,"Moubarek, Master. Gerios"
66,67,"Nye, Mrs. (Elizabeth Ramell)"
68,69,"Andersson, Miss. Erna Alexandra"
74,75,"Bing, Mr. Lee"
78,79,"Caldwell, Master. Alden Gates"
79,80,"Dowdell, Miss. Elizabeth"
81,82,"Sheerlinck, Mr. Jan Baptist"
82,83,"McDermott, Miss. Brigdet Delia"
84,85,"Ilett, Miss. Bertha"
85,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
88,89,"Fortune, Miss. Mabel Helen"
97,98,"Greenfield, Mr. William Bertram"
98,99,"Doling, Mrs. John T (Ada Julia Bone)"
106,107,"Salkjelsvik, Miss. Anna Kristine"
107,108,"Moss, Mr. Albert Johan"
109,110,"Moran, Miss. Bertha"
123,124,"Webber, Miss. Susan"
125,126,"Nicola-Yarred, Master. Elias"
127,128,"Madsen, Mr. Fridtjof Arne"
128,129,"Peter, Miss. Anna"
133,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
136,137,"Newsom, Miss. Helen Monypeny"
141,142,"Nysten, Miss. Anna Sofia"
142,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
146,147,"Andersson, Mr. August Edvard (""Wennerstrom"")"
151,152,"Pears, Mrs. Thomas (Edith Wearne)"
156,157,"Gilnagh, Miss. Katherine ""Katie"""
161,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
165,166,"Goldsmith, Master. Frank John William ""Frankie"""
166,167,"Chibnall, Mrs. (Edith Martha Bowerman)"
172,173,"Johnson, Miss. Eleanor Ileen"
183,184,"Becker, Master. Richard F"
184,185,"Kink-Heilmann, Miss. Luise Gretchen"
186,187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"
187,188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"
190,191,"Pinsky, Mrs. (Rosa)"
192,193,"Andersen-Jensen, Miss. Carla Christine Nielsine"
193,194,"Navratil, Master. Michel M"
194,195,"Brown, Mrs. James Joseph (Margaret Tobin)"
195,196,"Lurette, Miss. Elise"
198,199,"Madigan, Miss. Margaret ""Maggie"""
204,205,"Cohen, Mr. Gurshon ""Gus"""
207,208,"Albimona, Mr. Nassef Cassem"
208,209,"Carr, Miss. Helen ""Ellen"""
209,210,"Blank, Mr. Henry"
211,212,"Cameron, Miss. Clear Annie"
215,216,"Newell, Miss. Madeleine"
216,217,"Honkanen, Miss. Eliina"
218,219,"Bazzani, Miss. Albina"
220,221,"Sunderland, Mr. Victor Francis"
224,225,"Hoyt, Mr. Frederick Maxfield"
226,227,"Mellors, Mr. William John"
230,231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
233,234,"Asplund, Miss. Lillian Gertrud"
237,238,"Collyer, Miss. Marjorie ""Lottie"""
241,242,"Murphy, Miss. Katherine ""Kate"""
247,248,"Hamalainen, Mrs. William (Anna)"
248,249,"Beckwith, Mr. Richard Leonard"
255,256,"Touma, Mrs. Darwis (Hanne Youssef Razi)"
256,257,"Thorne, Mrs. Gertrude Maybelle"
257,258,"Cherry, Miss. Gladys"
258,259,"Ward, Miss. Anna"
259,260,"Parrish, Mrs. (Lutie Davis)"
261,262,"Asplund, Master. Edvin Rojj Felix"
267,268,"Persson, Mr. Ernst Ulrik"
268,269,"Graham, Mrs. William Thompson (Edith Junkins)"
269,270,"Bissette, Miss. Amelia"
271,272,"Tornquist, Mr. William Henry"
272,273,"Mellinger, Mrs. (Elizabeth Anne Maidment)"
274,275,"Healy, Miss. Hanora ""Nora"""
275,276,"Andrews, Miss. Kornelia Theodosia"
279,280,"Abbott, Mrs. Stanton (Rosa Hunt)"
283,284,"Dorking, Mr. Edward Arthur"
286,287,"de Mulder, Mr. Theodore"
288,289,"Hosono, Mr. Masabumi"
289,290,"Connolly, Miss. Kate"
290,291,"Barber, Miss. Ellen ""Nellie"""
291,292,"Bishop, Mrs. Dickinson H (Helen Walton)"
298,299,"Saalfeld, Mr. Adolphe"
299,300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
300,301,"Kelly, Miss. Anna Katherine ""Annie Kate"""
301,302,"McCoy, Mr. Bernard"
303,304,"Keane, Miss. Nora A"
305,306,"Allison, Master. Hudson Trevor"
306,307,"Fleming, Miss. Margaret"
307,308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
309,310,"Francatelli, Miss. Laura Mabel"
310,311,"Hays, Miss. Margaret Bechstein"
311,312,"Ryerson, Miss. Emily Borie"
315,316,"Nilsson, Miss. Helmina Josefina"
316,317,"Kantor, Mrs. Sinai (Miriam Sternin)"
318,319,"Wick, Miss. Mary Natalie"
319,320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
322,323,"Slayter, Miss. Hilda Mary"
323,324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
325,326,"Young, Miss. Marie Grice"
327,328,"Ball, Mrs. (Ada E Hall)"
328,329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
329,330,"Hippach, Miss. Jean Gertrude"
330,331,"McCoy, Miss. Agnes"
334,335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
337,338,"Burns, Miss. Elizabeth Margaret"
338,339,"Dahl, Mr. Karl Edwart"
340,341,"Navratil, Master. Edmond Roger"
341,342,"Fortune, Miss. Alice Elizabeth"
345,346,"Brown, Miss. Amelia ""Mildred"""
346,347,"Smith, Miss. Marion Elsie"
